"student_id","class_id","grade","quarter"
47,37,"B","Summer 2012"
47,66,"C","Winter 2012"
47,136,"A","Summer 2012"
47,306,"B","Summer 2012"
47,418,"A","Winter 2012"
47,521,"D","Winter 2012"
47,530,"B","Winter 2012"
47,766,"A","Summer 2012"
47,883,"A","Summer 2012"
47,890,"C","Winter 2012"
314,5,"B","Fall 2011"
314,24,"C","Spring 2012"
314,242,"B","Fall 2011"
314,303,"C","Fall 2011"
314,451,"C","Spring 2012"
314,474,"A","Spring 2012"
314,489,"C","Spring 2012"
314,516,"B","Spring 2012"
314,552,"B","Fall 2011"
314,733,"D","Fall 2011"
375,32,"B","Summer 2012"
375,149,"C","Winter 2012"
375,307,"B","Winter 2012"
375,325,"A","Summer 2012"
375,406,"C","Summer 2012"
375,540,"D","Winter 2012"
375,709,"A","Summer 2012"
375,775,"B","Summer 2012"
375,909,"D","Winter 2012"
375,995,"A","Winter 2012"
447,212,"D","Winter 2012"
447,262,"A","Summer 2012"
447,373,"B","Summer 2012"
447,504,"B","Summer 2012"
447,583,"B","Winter 2012"
447,591,"B","Winter 2012"
447,718,"B","Winter 2012"
447,890,"B","Summer 2012"
447,965,"B","Winter 2012"
447,986,"A","Summer 2012"
589,92,"D","Fall 2011"
589,134,"B","Fall 2011"
589,200,"C","Spring 2012"
589,257,"B","Spring 2012"
589,502,"B","Fall 2011"
589,614,"A","Fall 2011"
589,640,"B","Spring 2012"
589,801,"C","Spring 2012"
589,914,"B","Spring 2012"
589,927,"B","Fall 2011"
661,75,"B","Winter 2012"
661,149,"D","Summer 2012"
661,264,"B","Summer 2012"
661,474,"B","Summer 2012"
661,523,"C","Summer 2012"
661,722,"B","Winter 2012"
661,762,"A","Winter 2012"
661,829,"A","Summer 2012"
661,883,"C","Winter 2012"
661,970,"B","Winter 2012"
860,241,"B","Spring 2012"
860,347,"C","Fall 2011"
860,428,"D","Spring 2012"
860,509,"D","Spring 2012"
860,656,"C","Spring 2012"
860,730,"D","Fall 2011"
860,764,"C","Spring 2012"
860,807,"D","Fall 2011"
860,821,"B","Fall 2011"
860,857,"C","Fall 2011"
867,32,"D","Fall 2011"
867,50,"A","Spring 2012"
867,148,"B","Fall 2011"
867,406,"C","Spring 2012"
867,530,"B","Fall 2011"
867,539,"A","Spring 2012"
867,582,"A","Spring 2012"
867,606,"B","Fall 2011"
867,825,"B","Spring 2012"
867,877,"B","Fall 2011"
960,19,"A","Winter 2012"
960,31,"B","Summer 2012"
960,74,"C","Summer 2012"
960,313,"B","Summer 2012"
960,496,"D","Summer 2012"
960,656,"C","Winter 2012"
960,762,"A","Winter 2012"
960,894,"D","Winter 2012"
960,955,"C","Summer 2012"
960,973,"D","Winter 2012"
971,56,"B","Fall 2011"
971,83,"C","Spring 2012"
971,207,"C","Fall 2011"
971,283,"C","Spring 2012"
971,331,"B","Fall 2011"
971,530,"C","Fall 2011"
971,633,"B","Spring 2012"
971,653,"D","Spring 2012"
971,677,"D","Spring 2012"
971,981,"C","Fall 2011"
